order,artist,title,mix,bpm,bpm_status,key,key_status,energy,duration,transition_key_relation,bpm_delta,blend,note
"1","Bicep","Glue","Original Mix","130.01","verified","8A","estimated","3","360000","adjacent-up","-8.46857934005076","long-blend","Long blend across 16 bars; let the pads overlap."
"2","Lane 8","Fingerprint","Extended Mix","119","estimated","9A","estimated","5","360000","same","0.8403361344537815","long-blend","Long blend across 16 bars; let the pads overlap."
"3","Ben Böhmer","Breathing","Extended Mix","120","estimated","9A","estimated","5","360000","adjacent-up","0.8333333333333334","breakdown-swap","Swap in the breakdown — both tracks strip back here."
"4","Marsh","Lailonie","Original Mix","121","estimated","10A","estimated","6","360000","relative","0.8264462809917356","long-blend","Long blend across 16 bars; let the pads overlap."
"5","Eli & Fur","You and I","Original Mix","122","estimated","10B","estimated","7","360000","relative","-0.03278688524590676","long-blend","Long blend across 16 bars; let the pads overlap."
"6","RÜFÜS DU SOL","Innerbloom","Sasha Remix","121.96","verified","10A","estimated","8","360000","adjacent-up","0.8527386028206021","breakdown-swap","Swap in the breakdown — both tracks strip back here."
"7","WhoMadeWho","Abu Simbel","Original Mix","123","estimated","11A","estimated","9","360000","adjacent-up","0.8130081300813009","long-blend","Long blend across 16 bars; let the pads overlap."
"8","Mind Against","Walking Away","Original Mix","124","estimated","12A","estimated","9","360000","adjacent-up","-3.0725806451612923","long-blend","Long blend across 16 bars; let the pads overlap."
"9","Jody Wisternoff","For All Time","Extended Mix","120.19","verified","1A","estimated","7","360000","relative","2.3795656876612026","breakdown-swap","Swap in the breakdown — both tracks strip back here."
"10","Yotto","Walls","Original Mix","123.05","verified","1B","estimated","5","360000","","","",""
